original.box,object,condition,category,appox.date
1,1,F,bodice,1875
1,2,F,bodice,1890
1,3,G,bodice,1880
1,4,G,cape,1875
1,5,G,bodice,1880
1,6,E,jacket,1890
1,7,P,skirt,1890
1,8,G,bodice,1895
1,9,G,bodice,1890
1,10,P,bodice,1890
1,11,G,belt,
2,1,G,dress,1910
2,2,F,bodice,1890
2,3,E,kimono,
2,4,P,dress,1860
2,5,G,belt,
2,6,P,skirt,1890
2,7,P,skirt,1900
2,8,P,skirt,
2,9,F,cape,1870
3,1,G,corset cover,1870
3,2,G,corset cover,1860
3,3,F,dress,1905
3,4,G,bodice,1890
3,5,F,cape,1880
3,6,F,skirt,1900
3,7,G,jacket,1900
3,8,G,bodice,1880
3,9,E,cape,1880
3,10,F,skirt,1880
3,11,G,cape,1930
3,12,E,bodice,1890
3,13,E,cape,1860
4,1,F,dress,1920
4,2,F,dress,1920
4,3,G,muff,1880
4,4,G,belt,
4,5,E,belt,1900
4,6,G,sash,1910
4,7,G,belt,
4,8,E,stole,
4,9,E,skirt,1900
4,10,E,dress,1930
4,11,F,skirt,1890
4,12,G,skirt,1900
4,13,G,petticoat,
4,14,G,skirt,1890
4,15,F,skirt,1900
4,16,P,skirt,
4,17,P,skirt,
5,1,P,skirt,1900
5,2,G,skirt,1900
5,3,G,skirt,1900
5,4,E,skirt,1900
5,5,P,dress,1895
6,1,E,bodice,1870
6,2,P,bodice,1890
6,3,P,bodice,1860
6,4,P,coat,
6,5,G,bodice,1880
6,6,F,bodice,1890
6,7,G,skirt,1865
6,8,G,cape,
6,9,P,slip,1920
6,10,P,dress,
6,11,P,piece,
6,12,F,dress,1910
6,13,F,skirt,1910
6,14,G,skirt,
6,15,F,dress,1930
6,16,P,cape,
7,1,E,cape,
7,2,G,coat,1910
7,3,E,coat,1890
7,4,G,skirt,1910
8,1,E,jacket,1900
8,2,F,coat,1920
8,3,G,jacket,1910
8,4,G,coat,1900
8,5,G,jacket,1910
8,6,G,coat,1920
9,1,G,piece,
9,2,F,nightgown,1890
9,3,P,coat,1900
9,4,G,dress,1870
9,5,F,dress,1910
9,6,G,dress,1920
9,7,G,dress,1930
9,8,G,dress,1910
9,9,E,dress,1930
9,10,G,jacket,1930
9,11,E,dress,1930
9,12,E,dress,1920
9,13,G,dress,1875
9,14,P,dress,
10,1,G,skirt,1905
10,2,G,skirt,1915
10,3,G,skirt,1890
10,4,E,skirt,1890
10,5,F,skirt,1905
11,1,F,shoes,
11,2,F,shoes,
11,3,F,shawl,
11,4,F,dress,1930
11,5,E,bodice,1890
11,6,G,bodice,1880
11,7,F,men's vest,
11,8,,bag of lace,
11,9,,bag of lace,
11,10,G,collar,
11,11,G,collar,
12,1,G,bodice,1890
12,2,E,bodice,1890
12,3,G,bodice,1870
12,4,G,bodice,1865
12,5,E,bodice,1900
12,6,G,bodice,1897
12,7,F,men's jacket,
12,8,P,sleeves,2000
12,9,P,bodice,
12,10,G,bodice,1897
12,11,E,bodice,1890
12,12,G,bodice,1895
12,13,E,blouse,1930
13,1,E,skirt,1900
13,2,G,bloomers,1870
13,3,G,skirt,1880
13,4,F,skirt,1870
13,5,G,petticoat,1910
13,6,F,petticoat,
13,7,E,skirt,1855
13,8,F,skirt,1900
13,9,E,skirt,1905
13,10,G,skirt,1900
13,11,G,skirt,
14,1,G,skirt,1900
14,2,F,skirt,1895
14,3,G,bodice,1895
14,4,G,bodice,1900
14,5,E,bodice,2000
14,6,G,skirt,2000
14,7,G,belt,1900
14,8,E,bodice,1865
14,9,E,bodice,1875
14,10,G,bodice,1865
14,11,E,skirt,1890
14,12,G,bodice,1890
14,13,E,skirt,1910
14,14,G,bodice,1897
14,15,E,skirt,1897
14,16,E,belt,
B1,1,G,skirt,1900
B1,2,G,bodice,1900
B1,3,G,cap,
B2,1,E,bodice,1850
B3,1,E,dress,1950
B3,2,E,gloves,1950
B3,3,E,belt,1950
B4,1,E,bathing suit,1920
B4,2,E,bathing suit,1920
B4,3,E,bathing suit,1920
B4,4,E,bathing suit,1920
B5,1,E,chemise,1910
B5,2,E,drawers,1910
B5,3,E,chemise,1910
B5,4,E,drawers,1910
B6,1,E,veil,
B7,1,G,headpiece,
B8,1,G,dress,1920
B9,1,G,child's dress,
B9,2,G,child's pants,
B9,3,G,child's dress,
B9,4,F,child's tunic,
B9,5,F,child's pants,